lest1,l_std1,lest2,l_std2,lest3,l_std3,lest4,l_std4
0.099613,0.019851,0.010033,0.0047312,0.013954,0.0064568,0.0033355,0.00049878
0.099697,0.019736,0.0099578,0.0044899,0.014385,0.006551,0.0033019,0.00041992
0.10107,0.020042,0.0098026,0.0045975,0.014242,0.0068965,0.003301,0.0004533
0.10004,0.020869,0.010106,0.0049741,0.014086,0.0063655,0.0032935,0.00048475
0.10045,0.020072,0.010141,0.0046822,0.013805,0.0064794,0.0033023,0.00052143
0.10004,0.019604,0.010019,0.0046294,0.013977,0.0065004,0.0032756,0.00047037
0.099161,0.019876,0.010054,0.0046249,0.013803,0.0063448,0.0032716,0.00048922
0.099915,0.020098,0.0098376,0.0047208,0.014339,0.0067043,0.0032516,0.00047857
0.10042,0.020034,0.0099175,0.0046275,0.014151,0.0066166,0.0032381,0.00044467
0.10011,0.01965,0.010035,0.0044414,0.014027,0.0062311,0.003231,0.00045397
0.099568,0.019022,0.0099937,0.0044855,0.013815,0.0062042,0.0032114,0.00041961
0.10057,0.019469,0.010182,0.0048121,0.013895,0.006407,0.0032075,0.00044047
0.10033,0.019145,0.0098809,0.0045156,0.014066,0.0065011,0.0031912,0.00041698
0.10015,0.019653,0.0097281,0.0044746,0.014265,0.0067671,0.0031844,0.00044917
0.10009,0.019239,0.010224,0.0046695,0.014303,0.0066952,0.0031713,0.00041439
0.099841,0.019198,0.0095745,0.0045028,0.014112,0.006421,0.0031957,0.0005214
0.099536,0.019618,0.010192,0.0049042,0.013622,0.0061984,0.0032012,0.00056136
0.10103,0.019949,0.010071,0.0044598,0.013645,0.0060069,0.003179,0.00054457
0.10005,0.019772,0.010298,0.0046673,0.013698,0.0062875,0.0031385,0.00043098
0.10011,0.019021,0.010163,0.0045676,0.013449,0.0063133,0.0031411,0.00046971
0.099755,0.018692,0.010153,0.0046377,0.014262,0.006435,0.0031346,0.0004969
0.099366,0.019397,0.01003,0.0043885,0.01387,0.0063174,0.003128,0.00048541
0.1001,0.018307,0.010131,0.0047171,0.013757,0.0063336,0.0030912,0.00039312
0.099554,0.019576,0.010042,0.0046153,0.014121,0.006506,0.0031,0.00047427
0.10012,0.018821,0.010054,0.0046123,0.01351,0.0062609,0.0030604,0.00034239
0.1001,0.019043,0.010292,0.0046794,0.013707,0.0061384,0.0031054,0.00053941
0.099802,0.019547,0.009967,0.0045499,0.013733,0.0063163,0.0030991,0.00052879
0.10085,0.019162,0.0099731,0.0043671,0.013689,0.0064553,0.0030479,0.00042018
0.10051,0.018713,0.010206,0.0045327,0.013906,0.0062433,0.0030567,0.00045709
0.099756,0.018429,0.010039,0.0045665,0.01348,0.0062534,0.0030506,0.00046489
0.1005,0.018788,0.010071,0.0047192,0.014142,0.0064045,0.0030089,0.00034881
0.10026,0.01889,0.0098077,0.0045452,0.013641,0.0064426,0.0030237,0.00043419
0.099422,0.018504,0.0099558,0.0046331,0.013763,0.006121,0.0030324,0.00048689
0.099516,0.019157,0.010029,0.004587,0.013712,0.0057757,0.0030294,0.00050198
0.098841,0.017706,0.0099296,0.004468,0.013713,0.005948,0.0030176,0.00049235
0.10016,0.018372,0.0099971,0.0043993,0.013571,0.0060494,0.0030088,0.00050804
0.10004,0.0181,0.010073,0.004667,0.013395,0.0059682,0.0029708,0.00039823
0.099709,0.018079,0.01,0.0044361,0.013382,0.006102,0.0029767,0.00044513
0.10112,0.018879,0.0098638,0.0045379,0.013369,0.0060678,0.0029565,0.000406
0.10022,0.018903,0.010049,0.0044754,0.013727,0.0062014,0.0029653,0.00049517
0.10039,0.017831,0.010063,0.0045734,0.013331,0.0059812,0.0029539,0.00045015
0.099973,0.018622,0.0098908,0.0046399,0.01324,0.0059636,0.0029914,0.00057008
0.10005,0.017826,0.0099656,0.0042939,0.013471,0.0059543,0.0029226,0.00042133
0.10043,0.018602,0.010003,0.0042955,0.013504,0.0061592,0.0029229,0.00042851
0.099556,0.017993,0.0098433,0.0043191,0.013456,0.005931,0.0029202,0.00044502
0.099836,0.018656,0.010114,0.0044891,0.013435,0.0061736,0.0029233,0.00047696
0.099335,0.018785,0.010048,0.0043539,0.013441,0.0062216,0.0028839,0.00037682
0.098951,0.01865,0.0099492,0.0047356,0.013386,0.0059668,0.0028814,0.00041538
0.099642,0.018078,0.010101,0.0045676,0.013487,0.005915,0.0029099,0.00050345
0.10049,0.018108,0.010014,0.0044203,0.013504,0.0062708,0.0028848,0.00045552
0.10031,0.018097,0.0098768,0.004257,0.013577,0.0058992,0.0028655,0.00042011
0.1,0.017138,0.0099358,0.0044441,0.013612,0.0060382,0.0028743,0.00048534
0.10006,0.017922,0.010003,0.0045056,0.013323,0.0057487,0.0028747,0.00050608
0.099841,0.017323,0.010036,0.0045879,0.013081,0.0057965,0.0028611,0.00049011
0.099269,0.017112,0.0098615,0.004198,0.013203,0.0059,0.0028393,0.0004501
0.10004,0.018107,0.010138,0.0043692,0.013191,0.0059177,0.0028066,0.00036816
0.10083,0.01835,0.010135,0.0045889,0.01341,0.0060354,0.0028402,0.00049334
0.098807,0.017403,0.0099176,0.0045214,0.01308,0.0058594,0.0028104,0.00041203
0.099902,0.017486,0.0099589,0.0043992,0.013364,0.006098,0.0027945,0.00038375
0.099594,0.016794,0.0099235,0.0042897,0.013279,0.0057119,0.002806,0.00044307
0.10068,0.018259,0.010292,0.0045219,0.013029,0.0057019,0.0027793,0.00038166
0.09973,0.017877,0.010155,0.0045557,0.013299,0.0059084,0.0027935,0.00046471
0.10034,0.017793,0.0098076,0.0041652,0.013297,0.0060069,0.0028076,0.00051945
0.099289,0.017981,0.010008,0.0041371,0.012939,0.0058571,0.0027486,0.00036988
0.099459,0.017655,0.010267,0.0043051,0.01368,0.0059618,0.0027898,0.00052414
0.10002,0.017727,0.010038,0.0045127,0.013032,0.0059615,0.0027608,0.00043593
0.099671,0.017923,0.010177,0.0043783,0.01318,0.0058851,0.0027212,0.00032604
0.1006,0.016981,0.009992,0.0045539,0.013246,0.0058179,0.0027326,0.0003924
