jest1, j_std1, jest2, j_std2, jest3 ,j_std3, jest4, j_std4
0.099559,0.01945,0.0099925,0.0053255,0.011874,0.006344,0.0019401,0.00049819
0.10059,0.019905,0.010216,0.0057099,0.011964,0.0065506,0.0019403,0.00052265
0.10034,0.019572,0.0098587,0.0053549,0.012147,0.0066462,0.0019257,0.00049449
0.10016,0.02009,0.0096778,0.0053033,0.01236,0.0069174,0.0019222,0.00053235
0.10009,0.019665,0.010266,0.005531,0.012407,0.0068434,0.0019114,0.00049084
0.099837,0.019621,0.0094963,0.0053305,0.01222,0.0065625,0.0019449,0.00061724
0.099526,0.020048,0.010227,0.0058024,0.011728,0.0063344,0.001956,0.00066418
0.10105,0.020384,0.010084,0.0052736,0.01176,0.006138,0.0019343,0.00064394
0.10005,0.020202,0.010353,0.0055159,0.011822,0.0064242,0.0018909,0.00050935
0.10011,0.019433,0.010192,0.0053951,0.011576,0.00645,0.0018986,0.0005548
0.09975,0.019095,0.010181,0.0054749,0.012414,0.0065737,0.0018953,0.00058659
0.099352,0.019813,0.010036,0.0051778,0.012021,0.006453,0.0018921,0.00057272
0.1001,0.018698,0.010154,0.0055625,0.011915,0.0064689,0.001853,0.00046357
0.099545,0.019993,0.01005,0.0054395,0.012294,0.0066445,0.0018679,0.00055897
0.10012,0.01922,0.010064,0.005433,0.011678,0.0063936,0.0018256,0.00040331
0.1001,0.019444,0.010344,0.0055091,0.011886,0.0062679,0.001883,0.00063505
0.099798,0.019957,0.0099611,0.0053537,0.01192,0.006449,0.0018799,0.00062222
0.10087,0.019563,0.0099683,0.005136,0.011883,0.0065903,0.0018239,0.00049416
0.10052,0.019103,0.010242,0.005328,0.012112,0.0063734,0.0018386,0.00053728
0.099751,0.018811,0.010045,0.0053649,0.011685,0.0063832,0.0018357,0.00054616
0.10051,0.019177,0.010084,0.0055414,0.012368,0.0065368,0.0017909,0.00040958
0.10026,0.019278,0.0097743,0.0053343,0.011864,0.0065752,0.0018125,0.00050957
0.09941,0.018883,0.0099481,0.0054347,0.011996,0.0062465,0.001827,0.00057113
0.099506,0.019548,0.010034,0.0053779,0.011951,0.0058935,0.0018276,0.00058853
0.098817,0.018066,0.0099175,0.0052357,0.011959,0.0060689,0.0018179,0.00057694
0.10016,0.018744,0.0099966,0.0051526,0.011822,0.0061718,0.0018116,0.00059504
0.10004,0.018464,0.010085,0.0054635,0.011649,0.0060885,0.0017713,0.00046619
0.099703,0.018442,0.01,0.0051905,0.011643,0.0062245,0.0017823,0.00052084
0.10114,0.019256,0.0098407,0.0053071,0.011636,0.0061892,0.0017627,0.00047481
0.10023,0.01928,0.010057,0.0052314,0.012008,0.0063249,0.001777,0.00057881
0.1004,0.018185,0.010074,0.0053433,0.011611,0.0060999,0.0017677,0.00052594
0.099972,0.01899,0.0098725,0.0054184,0.011526,0.0060815,0.0018154,0.00066574
0.10006,0.018177,0.0099599,0.005012,0.011768,0.0060715,0.0017391,0.00049178
0.10044,0.018967,0.010003,0.0050114,0.011808,0.00628,0.0017433,0.00049993
0.099547,0.018344,0.0098173,0.0050366,0.011766,0.0060468,0.0017442,0.00051895
0.099833,0.019019,0.010132,0.0052323,0.011751,0.0062937,0.0017517,0.00055593
0.099322,0.019149,0.010056,0.0050724,0.011764,0.0063422,0.0017096,0.000439
0.098931,0.01901,0.0099408,0.0055145,0.011714,0.0060819,0.0017105,0.00048369
0.099635,0.018425,0.010118,0.0053164,0.011823,0.0060288,0.0017475,0.00058599
0.1005,0.018455,0.010016,0.0051425,0.011847,0.0063909,0.0017222,0.00052995
0.10032,0.018442,0.0098567,0.0049503,0.011927,0.0060117,0.0017036,0.00048853
0.1,0.017464,0.0099253,0.0051656,0.01197,0.006153,0.0017175,0.00056412
0.10006,0.018261,0.010003,0.0052347,0.011682,0.0058576,0.0017217,0.00058797
0.099838,0.01765,0.010042,0.0053279,0.011442,0.0059059,0.0017097,0.00056916
0.099256,0.017433,0.0098392,0.0048729,0.011571,0.0060109,0.0016881,0.00052246
0.10004,0.018446,0.01016,0.0050694,0.011566,0.0060285,0.0016538,0.00042716
0.10084,0.018693,0.010157,0.0053219,0.011795,0.006148,0.0016965,0.00057215
0.098784,0.017727,0.0099045,0.0052414,0.011465,0.0059683,0.0016656,0.00047764
0.0999,0.01781,0.0099524,0.0050975,0.011759,0.006211,0.0016508,0.00044467
0.099587,0.017104,0.0099114,0.0049685,0.011679,0.0058172,0.0016677,0.00051318
0.10069,0.018594,0.010338,0.0052351,0.01143,0.0058067,0.0016404,0.00044186
0.099725,0.018204,0.010179,0.005272,0.011711,0.0060166,0.0016604,0.00053777
0.10035,0.018117,0.0097774,0.004818,0.011715,0.0061165,0.0016803,0.00060087
0.099276,0.018308,0.010009,0.0047835,0.011356,0.0059636,0.0016156,0.00042768
0.099449,0.017975,0.010308,0.0049757,0.012116,0.0060698,0.0016667,0.00060578
0.10002,0.018047,0.010043,0.0052134,0.011462,0.0060691,0.0016366,0.00050362
0.099665,0.018245,0.010204,0.0050561,0.011619,0.005991,0.0015944,0.00037651
0.10061,0.017286,0.0099907,0.0052566,0.011692,0.0059222,0.0016111,0.00045295
0.10016,0.017585,0.010206,0.0051065,0.011464,0.0058756,0.0016123,0.00047116
0.09969,0.017361,0.0099509,0.0051615,0.011594,0.0060208,0.0016166,0.00053397
0.10026,0.018009,0.010061,0.005005,0.011954,0.0060213,0.0016086,0.0004869
0.099399,0.016746,0.010085,0.005174,0.011491,0.0055971,0.001625,0.0005449
0.099577,0.017819,0.010146,0.0050738,0.01163,0.0057545,0.0015927,0.00046543
0.099411,0.016782,0.010061,0.0050346,0.011249,0.0055679,0.0015727,0.00041392
0.098832,0.017679,0.009719,0.0049731,0.011867,0.0057405,0.0015921,0.00050823
0.10033,0.017001,0.010114,0.0049019,0.011728,0.0058104,0.0015843,0.00049814
0.099639,0.018395,0.0098258,0.0048818,0.011184,0.0058267,0.0016186,0.00059697
0.099965,0.017238,0.010072,0.0049144,0.011758,0.0059416,0.0015719,0.00046767
0.099655,0.017637,0.0099433,0.005074,0.011666,0.0057288,0.001603,0.00056375
0.10012,0.017565,0.0099405,0.0050571,0.011457,0.0058006,0.0015804,0.00054937
0.1003,0.017156,0.01008,0.005077,0.011486,0.0058897,0.0015638,0.0004812
0.10021,0.017063,0.0097337,0.0049636,0.011474,0.0057332,0.0015562,0.00047105
0.10117,0.017556,0.010047,0.0050131,0.011507,0.0056365,0.0015457,0.0004517
0.099651,0.016973,0.010082,0.0048912,0.011783,0.0058028,0.0015412,0.00045037
0.099426,0.01774,0.01022,0.0049382,0.011463,0.0057675,0.0015484,0.00048403
0.10074,0.017524,0.010249,0.0049638,0.011296,0.0055045,0.0015234,0.00041946
0.10086,0.017076,0.010055,0.0049642,0.011503,0.0057123,0.0015481,0.00052211
0.099465,0.016931,0.010282,0.0049097,0.011579,0.0056535,0.0015436,0.00050408
0.10002,0.016601,0.0098522,0.0049765,0.011663,0.0055775,0.001513,0.00042538
0.099645,0.017806,0.0099335,0.0050326,0.011458,0.0054216,0.0015405,0.00051655
0.099563,0.016848,0.0099741,0.0050597,0.011503,0.0057317,0.001513,0.00046826
0.10012,0.016486,0.010256,0.0049465,0.01162,0.0056661,0.0015489,0.00055659
0.099615,0.017528,0.010074,0.0048682,0.011553,0.0055656,0.0015501,0.00056845
0.1,0.017461,0.00996,0.0047746,0.011249,0.0053864,0.0015114,0.00051263
0.10021,0.017283,0.010011,0.0049122,0.011369,0.0056466,0.0015356,0.00058053
0.099638,0.016853,0.010037,0.0049279,0.011332,0.0056677,0.0015142,0.00050774
0.10025,0.016837,0.010068,0.0050884,0.011542,0.0055981,0.0015014,0.00048349
